x,y,z,p0,p1
-5.601483e-02,-2.150208e-02,1.490969e-17,1.000000e+00,-3.583679e-01
-5.601483e-02,-2.150208e-02,5.555556e-03,1.000000e+00,-3.583679e-01
-5.655849e-02,-2.002841e-02,2.777778e-03,1.000000e+00,-3.338069e-01
-5.601483e-02,-2.150208e-02,2.777778e-03,1.000000e+00,-3.583679e-01
-5.655849e-02,-2.002841e-02,1.498754e-17,1.000000e+00,-3.338069e-01
-5.706339e-02,-1.854102e-02,5.555556e-03,1.000000e+00,-3.090170e-01
-5.346039e-02,-2.723943e-02,1.596032e-17,1.000000e+00,-4.539905e-01
-5.196152e-02,-3.000000e-02,1.576090e-17,1.000000e+00,-5.000000e-01
-5.346039e-02,-2.723943e-02,5.555556e-03,1.000000e+00,-4.539905e-01
-5.346039e-02,-2.723943e-02,2.777778e-03,1.000000e+00,-4.539905e-01
-5.272903e-02,-2.862953e-02,2.777778e-03,1.000000e+00,-4.771588e-01
-5.272903e-02,-2.862953e-02,1.586604e-17,1.000000e+00,-4.771588e-01
-5.032023e-02,-3.267834e-02,1.551827e-17,1.000000e+00,-5.446390e-01
-5.032023e-02,-3.267834e-02,5.555556e-03,1.000000e+00,-5.446390e-01
-5.115841e-02,-3.134991e-02,1.564495e-17,1.000000e+00,-5.224986e-01
-5.115841e-02,-3.134991e-02,2.777778e-03,1.000000e+00,-5.224986e-01
-5.032023e-02,-3.267834e-02,2.777778e-03,1.000000e+00,-5.446390e-01
-5.196152e-02,-3.000000e-02,5.555556e-03,1.000000e+00,-5.000000e-01
-4.662876e-02,-3.775922e-02,1.636978e-17,1.000000e+00,-6.293204e-01
-4.458869e-02,-4.014784e-02,1.606898e-17,1.000000e+00,-6.691306e-01
-4.662876e-02,-3.775922e-02,5.555556e-03,1.000000e+00,-6.293204e-01
-4.662876e-02,-3.775922e-02,2.777778e-03,1.000000e+00,-6.293204e-01
-4.562436e-02,-3.896688e-02,2.777778e-03,1.000000e+00,-6.494480e-01
-4.562436e-02,-3.896688e-02,1.622494e-17,1.000000e+00,-6.494480e-01
-4.242641e-02,-4.242641e-02,5.555556e-03,1.000000e+00,-7.071068e-01
-4.242641e-02,-4.242641e-02,1.572414e-17,1.000000e+00,-7.071068e-01
-4.352246e-02,-4.130127e-02,2.777778e-03,1.000000e+00,-6.883546e-01
-4.242641e-02,-4.242641e-02,2.777778e-03,1.000000e+00,-7.071068e-01
-4.352246e-02,-4.130127e-02,1.590201e-17,1.000000e+00,-6.883546e-01
-4.458869e-02,-4.014784e-02,5.555556e-03,1.000000e+00,-6.691306e-01
-3.775922e-02,-4.662876e-02,1.636978e-17,1.000000e+00,-7.771460e-01
-3.526712e-02,-4.854102e-02,1.596591e-17,1.000000e+00,-8.090170e-01
-3.775922e-02,-4.662876e-02,5.555556e-03,1.000000e+00,-7.771460e-01
-3.775922e-02,-4.662876e-02,2.777778e-03,1.000000e+00,-7.771460e-01
-3.652569e-02,-4.760120e-02,2.777778e-03,1.000000e+00,-7.933533e-01
-3.652569e-02,-4.760120e-02,1.617339e-17,1.000000e+00,-7.933533e-01
-3.267834e-02,-5.032023e-02,1.551827e-17,1.000000e+00,-8.386706e-01
-3.267834e-02,-5.032023e-02,5.555556e-03,1.000000e+00,-8.386706e-01
-3.398437e-02,-4.944757e-02,2.777778e-03,1.000000e+00,-8.241262e-01
-3.267834e-02,-5.032023e-02,2.777778e-03,1.000000e+00,-8.386706e-01
-3.398437e-02,-4.944757e-02,1.574749e-17,1.000000e+00,-8.241262e-01
-3.526712e-02,-4.854102e-02,5.555556e-03,1.000000e+00,-8.090170e-01
-2.723943e-02,-5.346039e-02,1.596032e-17,1.000000e+00,-8.910065e-01
-2.440420e-02,-5.481273e-02,1.545618e-17,1.000000e+00,-9.135455e-01
-2.723943e-02,-5.346039e-02,5.555556e-03,1.000000e+00,-8.910065e-01
-2.723943e-02,-5.346039e-02,2.777778e-03,1.000000e+00,-8.910065e-01
-2.583067e-02,-5.415512e-02,2.777778e-03,1.000000e+00,-9.025853e-01
-2.583067e-02,-5.415512e-02,1.571363e-17,1.000000e+00,-9.025853e-01
-2.150208e-02,-5.601483e-02,1.490969e-17,1.000000e+00,-9.335804e-01
-2.150208e-02,-5.601483e-02,5.555556e-03,1.000000e+00,-9.335804e-01
-2.296101e-02,-5.543277e-02,1.518814e-17,1.000000e+00,-9.238795e-01
-2.296101e-02,-5.543277e-02,2.777778e-03,1.000000e+00,-9.238795e-01
