x,y,z,real,imag
-1.4118008422851563e-01,4.7875751495361329e-02,-1.9519381713867187e-01,1.4735395379755025e+00,4.0430179189060267e+00
8.9797424316406249e-02,1.6300910949707030e-02,-1.3038195800781249e-01,4.5265864726450711e-01,-3.5343389226490740e-01
8.8782722473144532e-02,2.1612836837768556e-02,-1.3335888671875001e-01,5.0442472936017335e-01,-1.5143031262459550e-01
8.8616256713867192e-02,2.1809236526489258e-02,-1.2555733489990234e-01,5.2020474190479216e-01,2.0748792218037604e-02
1.2361150360107422e-01,9.1322166442871097e-02,-1.4890866088867188e-01,1.5858571744423373e+00,2.1990735686528891e+00
1.2671614074707030e-01,9.7475013732910162e-02,-1.5203083801269532e-01,1.6768572091341496e+00,2.2257992998990987e+00
1.2050572967529297e-01,9.9196464538574225e-02,-1.5025607299804689e-01,1.6617669172859515e+00,2.2910723317241706e+00
9.2645843505859374e-02,3.1424961090087890e-02,-1.4423823547363282e-01,6.3226452300236236e-01,2.6339910443177006e-01
9.4256942749023437e-02,3.8420387268066410e-02,-1.4604583740234375e-01,7.3448521486676688e-01,6.1839317096534163e-01
8.7850242614746096e-02,3.8626186370849608e-02,-1.4253471374511720e-01,7.4310749057349534e-01,7.1289076572142629e-01
-8.1119514465332027e-02,8.2150138854980473e-02,-2.0592378234863282e-01,1.9616699606477339e+00,3.6356331076499524e+00
-8.6772079467773433e-02,7.6489341735839850e-02,-2.0586135864257812e-01,1.9122050116201847e+00,3.7057433696067918e+00
-8.7340385437011725e-02,8.3984855651855470e-02,-2.0793760681152343e-01,1.9397151850905194e+00,3.7402017770242590e+00
7.1685523986816407e-02,1.0511370849609375e-01,-2.1559487915039063e-01,2.0743243296532983e+00,4.6560559872331941e-01
6.6708877563476557e-02,1.0011084747314453e-01,-2.1241474914550781e-01,2.0573535007006756e+00,3.1096612163042359e-01
6.4485221862792971e-02,1.0839027404785156e-01,-2.1507145690917970e-01,2.0997862158812306e+00,6.4570745316312950e-01
1.2627789306640624e-01,1.1098489379882813e-01,-1.5943521118164061e-01,1.8220318290646289e+00,2.2257596565976052e+00
